"2018","type","DGP","niter"
-0.0202788242898335,"est",3,1
0.134643316883949,"se",3,1
1,"coverage",3,1
39.8941669464111,"time",3,1
4.97103947830381,"est",4,1
1.24615802798131,"se",4,1
0,"coverage",4,1
5.89665198326111,"time",4,1
-0.0484548566948353,"est",3,2
0.123656293032218,"se",3,2
1,"coverage",3,2
38.7874579429626,"time",3,2
4.78538297871697,"est",4,2
0.99981051370089,"se",4,2
0,"coverage",4,2
6.51105690002441,"time",4,2
-0.00655439831025739,"est",3,3
0.123387956229556,"se",3,3
1,"coverage",3,3
36.9425530433655,"time",3,3
5.24944511514351,"est",4,3
1.00308027029162,"se",4,3
0,"coverage",4,3
6.5664370059967,"time",4,3
-0.0323802579821753,"est",3,4
0.112013732388613,"se",3,4
1,"coverage",3,4
34.5962409973145,"time",3,4
4.57232258797149,"est",4,4
1.4053566795844,"se",4,4
0,"coverage",4,4
6.67638993263245,"time",4,4
0.122217520208324,"est",3,5
0.109231734144318,"se",3,5
1,"coverage",3,5
33.8481259346008,"time",3,5
4.92323874316149,"est",4,5
1.06661756204572,"se",4,5
0,"coverage",4,5
6.17499303817749,"time",4,5
-0.118812060191601,"est",3,6
0.119277699359001,"se",3,6
1,"coverage",3,6
36.3131930828094,"time",3,6
5.08206710178018,"est",4,6
1.30315891689653,"se",4,6
0,"coverage",4,6
11.8121252059937,"time",4,6
-0.0320405655222549,"est",3,7
0.130325199620023,"se",3,7
1,"coverage",3,7
41.7352697849274,"time",3,7
4.62233725261465,"est",4,7
1.34627157973662,"se",4,7
0,"coverage",4,7
9.21640014648438,"time",4,7
0.0450325375949525,"est",3,8
0.117260117377097,"se",3,8
1,"coverage",3,8
46.0001060962677,"time",3,8
4.7593874018052,"est",4,8
1.1211394557172,"se",4,8
0,"coverage",4,8
8.70484495162964,"time",4,8
-0.0633717264279687,"est",3,9
0.129313301249787,"se",3,9
1,"coverage",3,9
35.7934498786926,"time",3,9
5.00241496541861,"est",4,9
1.51030974750946,"se",4,9
0,"coverage",4,9
8.7643871307373,"time",4,9
-0.0719023794965055,"est",3,10
0.140611337838929,"se",3,10
1,"coverage",3,10
34.2532489299774,"time",3,10
4.53636867991698,"est",4,10
1.20845643399609,"se",4,10
0,"coverage",4,10
8.51953506469727,"time",4,10
0.0311645938721348,"est",3,11
0.127594418151326,"se",3,11
1,"coverage",3,11
36.8753700256348,"time",3,11
4.7224994107925,"est",4,11
1.5272575307064,"se",4,11
0,"coverage",4,11
8.84925293922424,"time",4,11
-0.0442321862033557,"est",3,12
0.121140689120857,"se",3,12
1,"coverage",3,12
34.410215139389,"time",3,12
4.4123220512939,"est",4,12
1.09218435268631,"se",4,12
0,"coverage",4,12
6.49816417694092,"time",4,12
0.054777156372068,"est",3,13
0.127285922121354,"se",3,13
1,"coverage",3,13
39.0799009799957,"time",3,13
4.58724602794689,"est",4,13
1.40786515835323,"se",4,13
0,"coverage",4,13
8.08156085014343,"time",4,13
0.0644705424336511,"est",3,14
0.124669686450492,"se",3,14
1,"coverage",3,14
40.4244689941406,"time",3,14
4.06525625734302,"est",4,14
1.42329874423441,"se",4,14
0,"coverage",4,14
11.1185331344604,"time",4,14
0.0756547759784354,"est",3,15
0.125074184269134,"se",3,15
1,"coverage",3,15
39.9796178340912,"time",3,15
4.83440905808227,"est",4,15
1.29572710379981,"se",4,15
0,"coverage",4,15
6.99075293540955,"time",4,15
0.212730838142959,"est",3,16
0.113274618269237,"se",3,16
1,"coverage",3,16
35.7525889873505,"time",3,16
4.784223275141,"est",4,16
1.35974120630085,"se",4,16
0,"coverage",4,16
10.0725131034851,"time",4,16
0.0653509973583299,"est",3,17
0.095319229851808,"se",3,17
1,"coverage",3,17
39.140114068985,"time",3,17
4.76787011159051,"est",4,17
1.55689394286866,"se",4,17
0,"coverage",4,17
9.19088697433472,"time",4,17
0.192866977383088,"est",3,18
0.131299224507549,"se",3,18
1,"coverage",3,18
33.8761329650879,"time",3,18
4.8004625779627,"est",4,18
0.864272121621245,"se",4,18
0,"coverage",4,18
